time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.23122982912e-08,1.36825430995e-06,10.0018817366,0.000972058711857,6.28285778805,0.0,1.44663181181e-05,0.000103586228237,0.0627225706931,0.0371199771996,-0.0195668888688,0.0,425.587600301229,423.909913553373,423.47389266877633,426.654377302293
0.12000000000000001,1.12525483659e-05,3.47036221609e-05,10.007625037,0.00289930585282,6.2820322159,0.0,0.000453901719083,0.00121151843411,0.128714639392,0.0195529490046,-0.00413083090376,0.0,425.37167213233164,426.6913319682486,426.6826110823569,425.18092239600463
0.18,6.47197533284e-05,0.000176153229187,10.0197641573,0.00402282582545,6.28200269431,0.0,0.00134250503761,0.00362861963747,0.275897459831,0.0170166167436,0.00594078977926,0.0,450.9874187187783,451.80005329597714,452.0159832196462,451.8115179670918
0.23999999999999996,0.000166637539148,0.000474148602281,10.0377389603,0.00478553279392,6.28224498098,0.0,0.0020262517197,0.00639022907719,0.323249673314,0.00229666303329,-6.83779559976e-05,0.0,420.2209829258248,419.6997729068263,420.5906861934435,419.31399423233177
0.3,0.0003102287605,0.000971458668518,10.0631128415,0.00508749301953,6.28175900908,0.0,0.00277781567182,0.010212666049,0.522475825125,0.0100092531282,-0.0334451693921,0.0,469.379398986093,466.78243691320756,466.5462080675345,467.1478170833606
0.36000000000000004,0.000518559561416,0.00170511554528,10.099981399,0.00601580971632,6.27976214655,0.0,0.00439543765954,0.0143315595463,0.706379117479,0.024618402103,-0.0329548574765,0.0,463.11291557488175,463.1510861673122,462.4370704173229,463.5861523379339
0.4200000000000001,0.000862530476714,0.00269854199274,10.1459528667,0.00731339884102,6.27803580243,0.0,0.0072630689756,0.0189285058254,0.825922141797,0.0148477441903,-0.0215018639313,0.0,442.90238452188646,443.8429496566124,444.21505052964994,443.41322927802594
0.48000000000000015,0.00142326403997,0.0040082874318,10.2010192715,0.00875292752608,6.27651820083,0.0,0.0115862901108,0.0248668786056,1.00947837692,0.0378645494375,-0.034223979624,0.0,463.2385293627684,462.2370662770479,463.1075487112384,464.9142714379927
0.5400000000000001,0.00229772348948,0.00573378050645,10.269369525,0.0111319839106,6.2744690117,0.0,0.0178181407405,0.0329394561306,1.26860759175,0.0430028324166,-0.0340119014816,0.0,487.10506043090595,487.12054892959077,484.32558398270726,484.7124921594897
0.6000000000000002,0.00356442317132,0.00796326999804,10.3496392014,0.0135338502426,6.27299415182,0.0,0.0245879677027,0.0416439815633,1.40688297078,0.0333057258594,-0.0103766152764,0.0,449.6557014124682,451.5659764030769,450.7884973046809,450.0050939080806
0.6600000000000003,0.00527275639072,0.0107762079578,10.4390068341,0.0152908614235,6.27240045449,0.0,0.032422116902,0.0523288806118,1.57182185152,0.0196973421511,-0.00894862303306,0.0,458.97000713956913,459.08344392650093,459.53751934083,458.4578606922501
0.7200000000000003,0.00743147300484,0.014220396263,10.5352846471,0.016553671721,6.27212061814,0.0,0.0395725290581,0.0625944309841,1.63734413864,0.0236175116471,0.00276280306605,0.0,428.77616446998707,429.7699575922121,427.2075777712713,427.54169574067635
0.7800000000000004,0.0100460993125,0.0183421042845,10.6376384139,0.0179170518838,6.27224762303,0.0,0.0475636094453,0.074941759143,1.77424269392,0.0208713388976,0.000792178859977,0.0,451.2532284108152,451.0940930596212,451.1572856138817,450.9355475695515
0.8400000000000004,0.0131532241397,0.0232599518246,10.7496366362,0.0194232063427,6.27253638682,0.0,0.0559834649976,0.0891401083318,1.95873041358,0.0324473771474,0.01183757092,0.0,465.5613016605028,466.4245850451603,465.5293515750174,466.4342803835379
0.9000000000000005,0.0167749949694,0.0291040052438,10.8744983432,0.0220929940858,6.2727967185,0.0,0.0646683968256,0.105946162233,2.20288275772,0.0615373645335,-0.018156781768,0.0,484.61380881984695,482.35409640662857,483.61234784212445,485.7992489484813
0.9600000000000005,0.020838738581,0.0358555631393,11.0063526164,0.0255512560061,6.27165766828,0.0,0.0708852548028,0.119413433679,2.19227073562,0.0484048860089,-0.0206923856547,0.0,405.957515228262,405.72994739750004,405.3333909888156,404.15411996555486
1.0200000000000005,0.0253389018802,0.0435696526758,11.1412889042,0.0281175054927,6.27086784034,0.0,0.0792198049929,0.138004641652,2.30537375329,0.0280557516538,-0.00125537485614,0.0,445.42768659206587,447.01441993568466,446.13902494509,444.47546227900364
1.0800000000000005,0.0303170963489,0.052368521578,11.2801945842,0.0299229062969,6.27063769143,0.0,0.0867326022021,0.15544679651,2.32477009198,0.0338755886282,-0.00957359358499,0.0,416.0786052393616,415.34981293029233,415.9772407383989,416.4869085396155
1.1400000000000006,0.0357944300022,0.0623500323747,11.4236350955,0.0319380970351,6.27017375087,0.0,0.0958966978711,0.177477231992,2.45629747794,0.0330021217198,-0.00428300799167,0.0,452.09758031783934,452.5237564602795,451.8727948870203,451.80281040255625
1.2000000000000006,0.0417877906461,0.0735916443535,11.5717192739,0.0336191019674,6.27016723979,0.0,0.103892069463,0.1974091559,2.47978337568,0.0154930676708,0.00715145038822,0.0,417.296649294919,418.29359065090415,419.1307691545363,417.6065555420488
1.2600000000000007,0.0483273301591,0.0862348267287,11.726493323,0.0343288845282,6.27037557415,0.0,0.114047861574,0.224111357661,2.67890120917,0.00325493041895,-0.00514722332242,0.0,473.30007791649956,472.35256022232596,473.94029645502707,472.99865290089053
